#{"t_start": 1787330953.0356958, "env_id": "HandManipulateBlockRotateZ-v1"}
r,l,t
-100.0,100,317.369632
-100.0,100,318.04598
-100.0,100,318.688739
-100.0,100,319.318139
-100.0,100,319.927758
-100.0,100,320.550749
-100.0,100,321.227947
-100.0,100,323.327514
-100.0,100,323.82821
-100.0,100,324.366298
-100.0,100,324.941681
-100.0,100,325.513943
-100.0,100,326.097164
-100.0,100,326.670895
-100.0,100,327.258362
-100.0,100,327.863091
-100.0,100,328.46033
-88.0,100,329.065701
-100.0,100,329.681922
-100.0,100,330.297743
-100.0,100,331.010151
-100.0,100,331.586252
-100.0,100,332.170027
-100.0,100,332.749424
-100.0,100,333.343862
-100.0,100,334.036022
-100.0,100,334.64467
-87.0,100,335.293975
-100.0,100,335.897998
-100.0,100,336.546719
-100.0,100,337.178159
-100.0,100,337.896103
-96.0,100,338.508415
-100.0,100,339.109691
-100.0,100,339.702254
-100.0,100,340.339746
-100.0,100,340.971611
-100.0,100,341.642805
-100.0,100,342.297558
-100.0,100,342.949094
-100.0,100,343.582755
-100.0,100,344.2331
-100.0,100,344.9636
-100.0,100,345.647466
-100.0,100,346.269531
-100.0,100,346.863327
-100.0,100,347.454671
-100.0,100,348.110552
-100.0,100,350.197125
-100.0,100,350.769136
-100.0,100,351.303183
-100.0,100,351.882113
-100.0,100,352.443031
-100.0,100,353.016334
-100.0,100,353.598403
-100.0,100,354.177434
-100.0,100,354.74155
-100.0,100,355.342318
-100.0,100,355.9489
-100.0,100,356.542507
-100.0,100,357.140937
-100.0,100,357.865608
-100.0,100,358.53453
-96.0,100,359.203307
-100.0,100,359.877764
-100.0,100,360.51632
-100.0,100,361.188247
-100.0,100,361.809857
-100.0,100,362.414446
-100.0,100,363.020597
-100.0,100,363.599098
-100.0,100,364.200475
-100.0,100,364.820143
-100.0,100,365.485474
-100.0,100,366.084845
-100.0,100,366.712916
-100.0,100,367.352742
-100.0,100,368.012174
-100.0,100,368.693912
-100.0,100,369.343309
-100.0,100,369.957706
-100.0,100,370.598665
-100.0,100,371.242676
-96.0,100,371.898319
-100.0,100,372.600227
-100.0,100,373.224573
-100.0,100,373.819928
-100.0,100,374.413374
-100.0,100,375.004038
-100.0,100,377.076532
-100.0,100,377.570981
-100.0,100,378.166505
-100.0,100,378.725638
-100.0,100,379.320276
-100.0,100,379.910253
-98.0,100,380.523481
-100.0,100,381.1478
-100.0,100,381.798117
-100.0,100,382.433141
-100.0,100,383.014325
-100.0,100,383.630837
-100.0,100,384.246389
-100.0,100,384.881311
-100.0,100,385.549772
-100.0,100,386.15529
-100.0,100,386.786401
-100.0,100,387.420586
-100.0,100,388.069562
-100.0,100,388.733793
-100.0,100,389.41859
-100.0,100,390.083081
-100.0,100,390.68469
-100.0,100,391.343983
-100.0,100,391.935143
-100.0,100,392.527707
-98.0,100,393.139452
-100.0,100,393.780052
-100.0,100,394.387761
-100.0,100,395.004143
-100.0,100,395.63672
-93.0,100,396.299055
-100.0,100,396.940566
-100.0,100,397.540408
-100.0,100,398.225957
-100.0,100,398.820309
-99.0,100,399.443865
-100.0,100,400.099731
-100.0,100,400.807589
-100.0,100,401.441704
-94.0,100,402.0938
-100.0,100,404.206025
-100.0,100,404.723093
-97.0,100,405.278439
-100.0,100,405.828899
-100.0,100,406.402231
-100.0,100,406.984294
-100.0,100,407.589639
-100.0,100,408.216133
-100.0,100,408.848729
-100.0,100,409.48491
-100.0,100,410.145028
-100.0,100,410.78165
-100.0,100,411.35141
-100.0,100,411.932611
-100.0,100,412.528196
-100.0,100,413.127149
-97.0,100,413.720118
-100.0,100,414.307799
-100.0,100,414.974685
-100.0,100,415.61381
-100.0,100,416.241368
-100.0,100,416.927591
-100.0,100,417.584285
-100.0,100,418.333424
-100.0,100,418.994034
-100.0,100,419.668437
-100.0,100,420.345954
-100.0,100,420.995409
-100.0,100,421.618946
-100.0,100,422.242944
-100.0,100,422.913392
-100.0,100,423.575204
-98.0,100,424.23839
-100.0,100,424.927669
-91.0,100,425.597329
-100.0,100,426.245467
-100.0,100,426.914131
-100.0,100,427.515493
-100.0,100,428.095975
-100.0,100,428.734391
-100.0,100,429.425269
-100.0,100,431.504063
-100.0,100,432.015339
-100.0,100,432.567597
-96.0,100,433.133037
-100.0,100,433.714173
-100.0,100,434.318732
-100.0,100,434.92108
-100.0,100,435.536931
-100.0,100,436.124379
-97.0,100,436.728466
-100.0,100,437.374114
-100.0,100,437.985325
