#{"t_start": 1787305788.601611, "env_id": "HandManipulateBlockRotateZ-v1"}
r,l,t
-100.0,100,724.367821
-52.0,100,725.89027
-100.0,100,727.260288
-100.0,100,728.853234
-100.0,100,730.538146
-91.0,100,732.091544
-93.0,100,733.644196
-100.0,100,735.077065
-26.0,100,736.426086
-100.0,100,738.069624
-100.0,100,739.649106
-49.0,100,741.23214
-100.0,100,742.84835
-41.0,100,744.283227
-100.0,100,745.609435
-100.0,100,747.221415
-100.0,100,748.740544
-100.0,100,750.214174
-100.0,100,751.670726
-100.0,100,753.074212
-100.0,100,754.665151
-47.0,100,756.249249
-100.0,100,757.812438
-100.0,100,759.388587
-100.0,100,760.730052
-100.0,100,762.249675
-100.0,100,763.774641
-100.0,100,765.179331
-100.0,100,766.746228
-100.0,100,768.286286
-100.0,100,769.681981
-100.0,100,771.21333
-100.0,100,772.864031
-100.0,100,774.447621
-20.0,100,775.850992
-18.0,100,777.297324
-20.0,100,778.728418
-100.0,100,780.242978
-100.0,100,781.855777
-68.0,100,783.465553
-100.0,100,785.072639
-100.0,100,786.548933
-100.0,100,787.949457
-100.0,100,789.439789
-100.0,100,790.868574
-100.0,100,792.379182
-100.0,100,793.752227
-100.0,100,795.322727
-8.0,100,796.787436
-100.0,100,798.222867
-100.0,100,799.749388
-100.0,100,801.46502
-100.0,100,803.169953
-100.0,100,804.490541
-100.0,100,805.781189
-100.0,100,807.072126
-100.0,100,808.533629
-100.0,100,810.197131
-100.0,100,811.944754
-100.0,100,813.588188
-77.0,100,815.215361
-100.0,100,816.650724
-39.0,100,818.184052
-68.0,100,819.889618
-100.0,100,821.608413
-100.0,100,823.332064
-100.0,100,824.881094
-100.0,100,826.427142
-100.0,100,828.048611
-100.0,100,829.695729
-100.0,100,831.345332
-100.0,100,832.992493
-100.0,100,834.579172
-100.0,100,836.133565
-100.0,100,837.728128
-100.0,100,839.395784
-100.0,100,841.058528
-100.0,100,842.644197
-100.0,100,844.025701
-100.0,100,845.501093
-11.0,100,847.106696
-71.0,100,848.748172
-40.0,100,850.535838
-100.0,100,852.146109
-100.0,100,853.74834
-100.0,100,855.065052
-46.0,100,856.530736
-100.0,100,858.177384
-100.0,100,859.821408
-100.0,100,861.434102
-100.0,100,862.729018
-100.0,100,863.949247
-93.0,100,865.235113
-88.0,100,866.796463
-100.0,100,868.385787
-100.0,100,870.147274
-100.0,100,871.809731
-100.0,100,873.21775
-100.0,100,874.717881
-100.0,100,876.303643
-100.0,100,877.943741
-100.0,100,879.531652
-100.0,100,881.001556
-33.0,100,882.487399
-100.0,100,884.106679
-52.0,100,885.729702
-100.0,100,887.324531
-100.0,100,888.927057
-100.0,100,890.541264
-100.0,100,891.959575
-100.0,100,893.461068
-5.0,100,895.093488
-100.0,100,896.703445
-100.0,100,898.255019
-9.0,100,899.713233
-100.0,100,901.209206
-100.0,100,902.77913
-100.0,100,904.203973
-18.0,100,905.964659
-100.0,100,907.447176
-100.0,100,908.856396
-100.0,100,910.225952
-100.0,100,911.601619
-100.0,100,913.161429
-100.0,100,914.766692
-100.0,100,916.39795
-100.0,100,917.962738
-98.0,100,919.496953
-100.0,100,920.949247
-100.0,100,922.427556
-100.0,100,924.066643
-100.0,100,925.664724
-100.0,100,927.167289
-100.0,100,928.534814
-100.0,100,930.01493
-100.0,100,931.411379
-100.0,100,933.005418
-100.0,100,934.420229
-40.0,100,935.864653
-100.0,100,937.344916
-100.0,100,938.790135
-100.0,100,940.304104
-100.0,100,941.704035
-66.0,100,943.257068
-43.0,100,944.817931
-54.0,100,946.292202
-100.0,100,947.718847
-21.0,100,949.239094
-76.0,100,950.671782
-100.0,100,952.116972
-100.0,100,953.685894
-100.0,100,955.177877
-11.0,100,956.59373
-100.0,100,958.050489
-100.0,100,959.450686
-100.0,100,961.018526
-100.0,100,962.610881
-100.0,100,964.116673
-82.0,100,965.507434
-100.0,100,967.05216
-100.0,100,968.682
-100.0,100,970.188398
-100.0,100,971.676633
-47.0,100,973.249187
-100.0,100,974.720606
-67.0,100,976.082847
