#{"t_start": 1787311566.162663, "env_id": "HandManipulateBlockRotateZ-v1"}
r,l,t
-100.0,100,1211.695864
-100.0,100,1213.282565
-100.0,100,1214.879412
-100.0,100,1216.385763
-100.0,100,1217.780027
-100.0,100,1219.407776
-100.0,100,1221.038403
-72.0,100,1222.62905
-100.0,100,1224.042115
-100.0,100,1225.497705
-4.0,100,1226.971449
-92.0,100,1228.41948
-100.0,100,1230.162573
-100.0,100,1231.734558
-83.0,100,1233.251786
-100.0,100,1234.600284
-100.0,100,1236.446928
-100.0,100,1238.023139
-100.0,100,1239.449107
-100.0,100,1240.947396
-100.0,100,1242.517078
-100.0,100,1243.954273
-100.0,100,1245.394124
-100.0,100,1246.848531
-100.0,100,1248.476907
-100.0,100,1250.080625
-9.0,100,1251.515819
-100.0,100,1252.876414
-8.0,100,1254.211491
-22.0,100,1255.661283
-100.0,100,1257.216969
-100.0,100,1258.679463
-100.0,100,1260.111046
-100.0,100,1261.626885
-84.0,100,1263.042877
-100.0,100,1264.484684
-100.0,100,1265.959408
-100.0,100,1267.345564
-100.0,100,1268.781178
-7.0,100,1270.226042
-100.0,100,1271.75217
-100.0,100,1273.092499
-100.0,100,1274.588627
-100.0,100,1276.082944
-100.0,100,1277.467564
-61.0,100,1278.957086
-80.0,100,1280.337106
-6.0,100,1281.873564
-100.0,100,1283.333941
-100.0,100,1284.83036
-9.0,100,1286.230484
-100.0,100,1287.667219
-14.0,100,1289.167623
-100.0,100,1290.526701
-100.0,100,1291.990168
-2.0,100,1293.755172
-100.0,100,1295.381346
-100.0,100,1296.847988
-100.0,100,1298.227692
-100.0,100,1299.708135
-100.0,100,1301.025939
-77.0,100,1302.54274
-100.0,100,1304.004635
-100.0,100,1305.411704
-100.0,100,1306.838602
-100.0,100,1308.047871
-100.0,100,1309.556785
-100.0,100,1310.921098
-100.0,100,1312.417482
-42.0,100,1313.945109
0.0,100,1315.327314
-100.0,100,1316.811047
-100.0,100,1318.298127
0.0,100,1319.761358
-100.0,100,1321.298682
-35.0,100,1322.822273
-100.0,100,1324.207391
-100.0,100,1325.678034
-98.0,100,1327.033828
0.0,100,1328.538966
-100.0,100,1330.111603
-2.0,100,1331.536838
-100.0,100,1332.998453
